id,name,category,backend,timeHours,completeness,mauEstimate,apis,coreFeatures
app045,直播倒计时+脚本卡片,视频与直播工具,kv,6,90,中,Alarm,倒计时;讲稿提示
app046,绿幕抠像工具,视频与直播工具,none,12,80,中,Files,颜色键
app047,竖版视频拼接,视频与直播工具,none,8,85,中,Files,模板;比例
app048,水印添加/去除(遮盖),视频与直播工具,none,10,85,高,Files,贴片遮盖
app049,视频画幅裁切助手,视频与直播工具,none,12,80,中,Files,简稳像滤波
app050,字幕样式库,视频与直播工具,none,6,90,中,Files,多样式;导出
app051,简历生成器,文档与办公,none,8,90,高,Files,模板;导出PDF
app052,合同模板库,文档与办公,none,10,85,高,Files;Stylus,模板填充;签名
app053,会议日程助手,文档与办公,kv,6,90,中,Calendar,参会表;提醒
app054,OKR/周报助手,文档与办公,none,6,90,中,Files;Share,模板;导出
app055,表格记事本,文档与办公,kv,8,90,中,Files,简表;筛选
app056,思维导图（轻量）,文档与办公,none,10,85,中,Files,树图;导出
app057,速写白板,文档与办公,none,8,90,中,Stylus,画笔;图形;导出
app058,扫描签批合集,文档与办公,none,12,85,高,Cam;Stylus,扫描+签字
app059,会议投票器,文档与办公,none,6,90,中,Share;Cam,本地投票;二维码
app060,待阅清单（邮件摘要）,文档与办公,cf,10,80,中,Clipboard,粘贴→摘要
app061,正则测试器,开发者与网络,kv,6,95,中,Clipboard,即时匹配;保存
app062,JWT/Hash 工具,开发者与网络,none,5,95,中,,解析;生成
app063,UUID/ID 生成器,开发者与网络,none,3,95,中,,多算法
app064,Cron 可视化,开发者与网络,none,4,95,中,,解析;人类可读
app065,API Mock 卡片,开发者与网络,none,8,90,中,Files,本地JSON;模板
app066,HTTP 请求调试台,开发者与网络,none,8,85,中,Network,发起请求;日志
app067,二维码调试台,开发者与网络,none,5,95,中,Cam;Share,任意文本→二维码
app068,前端色板与对比度,开发者与网络,none,4,95,中,,色盘;对比度
app069,小程序/原子卡片预览,开发者与网络,none,8,85,中,Web,预览模板
app070,JSON Diff/合并,开发者与网络,none,6,95,中,Files,比对;合并
app071,单词卡片（离线）,教育与学习,kv,8,90,高,,词库;间隔复习
app072,引用格式生成,教育与学习,none,5,95,中,,APA;MLA
app073,学术计时（论文冲刺）,教育与学习,none,5,90,中,Alarm,计划;番茄
app074,术语速查,教育与学习,kv,8,90,中,,离线词典
app075,随机抽题,教育与学习,kv,8,90,高,,题库;错题本
app076,思政/法律知识卡片,教育与学习,kv,6,90,中,,要点卡
app077,数学公式手册,教育与学习,kv,6,90,中,,检索;收藏
app078,Ebbinghaus 复习表,教育与学习,kv,6,90,中,Alarm,计划;提醒
app079,课程表与作业,教育与学习,kv,8,90,高,Calendar,课程;提醒
app080,论文思路生成器,教育与学习,cf,12,80,中,,模板;提纲
app081,零成本离线短语包,语言与翻译,kv,5,95,高,,常用语集
app082,拍照翻译卡片,语言与翻译,cf,14,80,高,Cam,拍照→文字→翻译
app083,短句语音翻译,语言与翻译,cf,14,80,中,Mic,语音识别→翻译
app084,术语表管理,语言与翻译,none,8,90,中,Files,导入;去重
app085,旅游口语速查,语言与翻译,kv,5,95,高,,情景分类
app086,双语字幕播放器,语言与翻译,none,8,90,中,Files,字幕对照
app087,外语听写训练,语言与翻译,cf,12,80,中,Audio,听写;评分
app088,常用邮件句式库,语言与翻译,none,6,95,中,Share,模板;变量
app089,多语言标点修复,语言与翻译,none,4,95,中,,标点样式化
app090,单词发音对照,语言与翻译,none,6,90,中,Audio,美英音库
app091,体重与体脂记录,健康与健身,kv,6,90,高,Sensors(可选);Files,趋势;目标
app092,喝水提醒,健康与健身,kv,5,90,高,Alarm;Haptics,计划;记录
app093,跑步计时与配速,健康与健身,none,8,85,高,GPS;Sensors,里程;配速
app094,Tabata 训练计时,健康与健身,none,5,90,中,Audio;Haptics,间歇;语音
app095,动作计时与训练计数,健康与健身,none,8,85,中,Files,视频动作库
app096,睡眠声音记录,健康与健身,none,8,85,中,Mic,夜间录音;统计
app097,视力保健提醒,健康与健身,none,4,95,中,Alarm;Haptics,20-20-20
app098,冥想呼吸引导,健康与健身,none,4,95,中,Haptics,呼吸节奏;动画
app099,步数目标墙（卡片）,健康与健身,none,5,90,高,Sensors,今日步数;目标
app100,膳食与卡路里,健康与健身,kv,10,85,高,,食物库;记录
app101,家庭记账（简）,生活方式与家庭,kv,8,90,高,Files,分类;图表
app102,购物清单,生活方式与家庭,none,5,95,高,Share;Cam,多人共享(二维码)
app103,物品保修管理,生活方式与家庭,kv,8,90,中,Files;Alarm,发票;到期提醒
app104,家务轮值表,生活方式与家庭,kv,6,90,中,,成员;轮换
app105,药品用量提醒,生活方式与家庭,kv,6,90,高,Alarm,方案;提醒
app106,菜谱与周菜单,生活方式与家庭,none,8,85,中,Files,菜谱库;一键生成
app107,快递追踪（手动）,生活方式与家庭,none,4,90,中,,单号记录;归档
app108,家庭相册精选,生活方式与家庭,none,8,85,中,Files,评分;精选相册
app109,心情日记,生活方式与家庭,kv,6,90,中,Files,心情标签;导出
app110,生日纪念日提醒,生活方式与家庭,kv,5,95,高,Alarm;Share,纪念日;卡片
app111,行程清单,旅行与本地,kv,5,95,高,,出行打包;模板
app112,城市地铁图离线,旅行与本地,none,6,90,中,Files,线路图;换乘
app113,停车定位,旅行与本地,none,6,90,高,GPS;Alarm,位置记忆;计时
app114,景点打卡地图,旅行与本地,kv,8,85,中,GPS,自建POI;打卡
app115,汇率换算,旅行与本地,cf,8,90,中,,多币种;缓存
app116,旅行预算,旅行与本地,kv,6,90,中,Files,预算;花销
app117,照片比例尺标注器,旅行与本地,none,12,80,中,Cam;Sensors,AR测距(简)
app118,通勤出发提醒,旅行与本地,none,6,85,中,,站点收藏;倒计时
app119,通关口语包,旅行与本地,kv,5,95,中,,离线口语
app120,旅行相册日记,旅行与本地,none,8,85,中,Files;GPS,地理标签;相册
app121,记账极速版,金融与记账,kv,6,95,高,Haptics,一键入账;报表
app122,债务雪崩/雪球,金融与记账,none,6,90,中,,规划;进度
app123,信用卡还款提醒,金融与记账,kv,5,95,高,Alarm,账单日;提醒
app124,分摊记账,金融与记账,kv,8,90,中,Share;Cam,群组;AA二维码
app125,存钱挑战,金融与记账,kv,5,90,中,,挑战模板
app126,订阅支出管理,金融与记账,kv,6,90,高,Alarm,周期扣费提醒
app127,理财收益记事,金融与记账,kv,6,90,中,Files,简单收益记录
app128,发票收纳,金融与记账,none,8,85,中,Cam;Files,拍照;标签
app129,备用金追踪,金融与记账,kv,5,90,中,,借入借出
app130,现金流预测（简）,金融与记账,none,8,85,中,,规则;曲线
app131,商品标题生成,电商与卖家工具,cf,10,85,高,,模板;关键词
app132,主图批量改尺寸,电商与卖家工具,none,8,90,高,Files,规则;跨平台
app133,SKU 生成器,电商与卖家工具,none,5,95,中,,规则;校验
app134,客服快捷短语库,电商与卖家工具,kv,5,95,高,Clipboard,分类;一键复制
app135,评价回复助手,电商与卖家工具,cf,10,85,高,,模板;情景
app136,促销倒计时卡片,电商与卖家工具,none,5,90,中,Alarm,多活动;提醒
app137,订单打单（离线模板）,电商与卖家工具,none,8,90,中,Files,模板打印PDF
app138,商品图去EXIF,电商与卖家工具,none,5,95,中,Files,批量隐私清理
app139,关键词拓展记录,电商与卖家工具,kv,6,90,中,,备选词库
app140,竞品截图拼图,电商与卖家工具,none,6,90,中,Files,拼图;注释
app141,群公告速编,社交与沟通,none,4,95,高,Clipboard;Share,模板+时间戳
app142,生日祝福卡生成,社交与沟通,none,6,90,高,Files;Share,模板+照片
app143,社群签到卡片,社交与沟通,none,6,85,中,Cam,二维码;统计本地
app144,活动海报生成,社交与沟通,none,8,90,高,Files;Share,模板;二维码
app145,社交话题卡牌,社交与沟通,kv,5,90,中,,破冰题库
app146,文案灵感库,社交与沟通,kv,5,90,高,,分类片段
app147,多平台格式清洗,社交与沟通,none,3,95,高,Clipboard,粘贴→纯文本
app148,表情反应面板（卡片）,社交与沟通,none,3,95,中,Clipboard,快捷表情+复制
app149,名片二维码生成,社交与沟通,none,5,95,中,Share,vCard;二维码
app150,投票与抽签,社交与沟通,none,5,90,中,,本地参数;结果
app151,亲子积分板,儿童与亲子,kv,6,90,高,Haptics,任务→积分
app152,睡前故事播放器,儿童与亲子,files,6,90,中,Audio,离线故事
app153,识字卡片,儿童与亲子,kv,6,90,中,Audio,常用字;发音
app154,口算练习,儿童与亲子,kv,5,95,高,,自定义题量
app155,美术涂鸦板,儿童与亲子,none,6,90,中,Stylus,画笔;贴纸
app156,奖励转盘,儿童与亲子,none,4,95,中,Haptics,自定义;概率
app157,成长记录相册,儿童与亲子,none,6,90,中,Files,照片+里程碑
app158,安全知识卡片,儿童与亲子,kv,5,90,中,,常识;测验
app159,户外寻宝游戏,儿童与亲子,none,8,85,中,GPS,定位;打卡
app160,作息习惯培养,儿童与亲子,kv,5,90,高,Alarm,早睡早起提醒
app161,用车账本,汽车与出行,kv,6,90,中,Files,油费;保养
app162,路程/油耗计算,汽车与出行,none,6,90,中,GPS,行驶;油耗
app163,年检/保养提醒,汽车与出行,kv,5,95,中,Alarm,到期提醒
app164,违章手记（自查）,汽车与出行,kv,5,90,中,,记录;提醒
app165,共享行程二维码,汽车与出行,none,6,90,中,Share;GPS,生成共享卡片
app166,驾考口诀卡片,汽车与出行,kv,4,95,中,,科目要点
app167,停车计时器,汽车与出行,none,4,95,高,Alarm,计时;费用估算
app168,行车记录标签,汽车与出行,none,6,85,中,Files,事件标记
app169,高速费估算,汽车与出行,none,4,90,中,,区间估算
app170,自驾线路计划,汽车与出行,kv,8,85,中,GPS,POI清单
app171,家电保养日历,智能家居与 IoT,kv,5,90,中,Alarm,滤芯;清洁提醒
app172,NFC 贴纸助手,智能家居与 IoT,none,6,90,高,NFC,自定义动作
app173,蓝牙遥控板（通用）,智能家居与 IoT,none,8,85,中,BT,自定义指令
app174,家庭路由测速,智能家居与 IoT,none,6,90,中,Network,网络测速
app175,传感器记录仪,智能家居与 IoT,kv,6,90,中,Sensors,温湿度;光照
app176,家居清单与质保,智能家居与 IoT,kv,6,90,中,Files,家居目录
app177,电器用电估算,智能家居与 IoT,none,4,90,中,,用电清单
app178,蓝牙遥控宏定义,智能家居与 IoT,none,10,85,中,BT/IR,常见码库
app179,家务提醒卡片,智能家居与 IoT,kv,5,95,中,Alarm,周期任务
app180,MQTT 订阅查看（轻）,智能家居与 IoT,none,8,85,中,Network,只读仪表盘
app181,超简天气卡片,天气与环境,cf,8,90,高,Network,天气接口缓存
app182,空气质量提醒,天气与环境,cf,10,85,中,Network;Alarm,AQI;阈值提醒
app183,紫外线与日照,天气与环境,cf,8,85,中,Network,户外建议
app184,气压头痛记录,天气与环境,kv,8,85,中,Network,气压与症状
app185,农历与节气,天气与环境,none,6,95,高,,黄历;节气提醒
app186,潮汐潮位,天气与环境,cf,8,85,中,Network,海钓;海边
app187,日出日落提醒,天气与环境,cf,6,90,中,GPS;Alarm,地点;提醒
app188,穿衣指数卡片,天气与环境,cf,6,85,中,Network,建议;缓存
app189,过敏原提醒,天气与环境,cf,10,80,中,Network;Alarm,花粉风险
app190,天气背景屏保,天气与环境,cf,8,85,中,Network,实时动画
app191,文案润色助手,AI 助手与生成,cf,10,85,高,,多语气模板
app192,邮件草稿生成,AI 助手与生成,cf,10,85,高,Share,场景模板
app193,简历优化建议,AI 助手与生成,cf,10,85,高,Clipboard,粘贴→建议
app194,学习计划生成,AI 助手与生成,cf,10,85,中,,目标→计划
app195,面试 Q&A 辅助,AI 助手与生成,cf,10,85,高,,岗位→问答
app196,产品需求拆解,AI 助手与生成,cf,10,85,中,,需求→PRD骨架
app197,代码注释生成,AI 助手与生成,cf,10,85,中,Clipboard,片段→注释
app198,SQL 解释器,AI 助手与生成,cf,10,85,中,,SQL→自然语
app199,图像提示词优化,AI 助手与生成,cf,10,85,中,,提示工程
app200,多语翻译润色,AI 助手与生成,cf,10,85,高,Files,双语对照
